CIARA|HORIZON T####W|HORIZON T####W|Desktop|8.5|58.5|59.1|35.8|08/31/2021|
DT Research|LT350|LT350|Slate/Tablet|0.7|4.3|6.1|18.9|09/01/2021|
DT Research|582T|582T|Portable All-In-One Computer|0.7|6.9|21|64.7|08/31/2021|
ASUS|X515F Series|X515F|Notebook|0.4|1.9|4.1|14.2|08/31/2021|
ASUS|UX482EAR Series|UX482EAR|Notebook|1|1|5.1|18.4|06/21/2021|
ELO|ESY22I1D|ESY22I1D|Integrated Desktop|4.5|4.5|14.5|60.3|06/18/2021|
ELO|ESY15I1D|ESY15I1D|Integrated Desktop|4.5|4.5|9.4|47.2|06/18/2021|
ELO|ESY10I1D|ESY10I1D|Integrated Desktop|4.4|4.4|6.7|39.3|06/18/2021|
MSI|MS-B0A2|PRO DP20Z 5M|Desktop|1.3|10.8|11.4|44.8|06/15/2021|
Ace|Mustang T630|MSTT630|Notebook|0.8|8.2|10.6|30.9|06/16/2021|
LG|14ZT90P-G.AM****|14ZT90P-G.AM****|Notebook|-1|0.7|4.2|14.8|06/10/2021|
Lenovo|Lenovo 100e Chromebook 2nd Gen MTKxxxxxx|Lenovo 100e Chromebook 2nd Gen MTKxxxxxx|Notebook|0.3|0.5|2.2|7.7|06/09/2021|
LG|15ZT90P-G.AM****|15ZT90P-G.AM****|Notebook|0.7|0.7|6|19.3|06/10/2021|
Samsung|SM-T738U|SM-T738U|Slate/Tablet|0.1|0.1|3.3|9.3|06/03/2021|
MSI|MS-17L2|Katana GF76 11UD|Notebook|0.6|6.9|12.2|41.2|06/09/2021|
MSI|MS-17L1|Katana GF76 11UG|Notebook|0.6|6.4|11.5|38.5|06/09/2021|
dynabook|TECRA A50-J|PML10*|Notebook|0.7|2.4|5.8|20|06/07/2021|
Lenovo|ThinkStation P348|30EQ|Workstation|-1|-1|-1|-1|06/07/2021|
HP|HP ZBook Fury 15.6 Inch G8 ENERGY STAR|HP ZBook Fury 15.6 Inch G8 Mobile Workstation PC|Mobile Workstation|1.7|1.7|13.7|38.4|06/02/2021|
HP|HP ZBook Fury 17.3 Inch G8 ENERGY STAR|HP ZBook Fury 17.3 Inch G8 Mobile Workstation PC|Mobile Workstation|1.8|1.8|12|34.9|06/02/2021|
Lenovo|ThinkPad X1 Extreme Gen 4|20Y3|Notebook|1.6|1.6|16.1|49.6|06/01/2021|
MSI|MS-1582|Katana GF66 11UD|Notebook|0.6|9.8|11.5|42.2|06/02/2021|
Acer|N20Q13|Acer Chromebook 514|Notebook|0.5|1.9|4|14.4|05/30/2021|
MSI|MS-B0A1|Cubi N JSL|Desktop|1.2|7|7|29.9|05/28/2021|
ASUS|UX5401E Series|UX5401E|Notebook|0.6|0.6|4.8|15.7|05/28/2021|
MSI|MS-1581|Katana GF66 11UG|Notebook|0.6|6|8.9|31.8|05/27/2021|
ASUS|S5400E Series|S5400E|Notebook|0.5|0.6|4.9|15.8|03/29/2021|
Lenovo|IdeaCentre AIO 5 27IOB6|F0G4|Integrated Desktop|1.4|11.6|27.8|90.1|05/26/2021|
Acer|D18W3|Veriton N4680G|Desktop|1.3|5.5|6.4|27.5|05/26/2021|
HP|HP ProDesk 405 G8 Small Form Factor PC (ENERGY STAR)|ProDesk 405 G8 Small Form Factor PC|Desktop|1.4|14.4|14.5|57.3|05/24/2021|
HP|HP EliteDesk 800 G8 Small Form Factor PC (ENERGY STAR)|EliteDesk 800 G8 Small Form Factor PC|Desktop|1.8|15.1|16.6|64.9|03/29/2021|
HP|HP ProDesk 600 G8 Microtower PC (ENERGY STAR)|ProDesk 600 G8 Microtower PC|Desktop|2|20|26|94.6|03/29/2021|
ASUS|E410K Series|E410K|Notebook|0.4|1.4|3.7|13|03/28/2021|
Acer|N20C13|N20C13|Notebook|0.6|0.6|5.1|16|03/28/2021|
ASUS|E210K Series|E210K|Notebook|0.4|1.8|3.3|12.3|03/28/2021|
Lenovo|IP Duet 5 Chromebook 13Q7C6|IP Duet 5 Chromebook 13Q7C6|Slate/Tablet|0.6|1.2|3.7|13|10/18/2021|
ASUS|HM5600Q Series|HM5600Q|Notebook|1.1|8.6|10.8|40.9|04/01/2021|
HP|HP Pavilion 27 inch All-in-One Desktop PC 27-caENERGY STAR|27-ca|Integrated Desktop|1|5.7|17.4|55|07/30/2021|
INSYS|ProNote|ProNote|Notebook|1.4|4|6|24.6|07/29/2021|
HP|HP Pavilion 23.8 inch All-in-One Desktop PC 24-caENERGY STAR|24-ca|Integrated Desktop|1|5.5|17.4|57.3|07/29/2021|
Samsung|NP935QDC|NP935QDC|Notebook|0.6|0.6|4.1|14|07/27/2021|
HP|HP Spectre x360 16 inch 2-in-1 Laptop PC ENERGY STAR|16-f|Notebook|1|1|9.1|26.4|07/27/2021|
HP|HP ENVY 34 inch All-in-One Desktop PC 34-cENERGY STAR|34-c|Integrated Desktop|2.8|2.8|39.7|118.4|07/26/2021|
ASUS|B7402FE Series|B7402FE|Notebook|1|1|4.7|17.1|07/25/2021|
ASUS|UM325UAZ Series|UM325UAZ|Notebook|0.5|3|5.3|18.6|07/25/2021|
ASUS|P1440F Series|P1440F|Notebook|0.5|2.1|3.5|13.2|07/25/2021|
MSI|MS-B0A4|PRO DP21 11M|Desktop|1.3|7.1|8|33.3|07/15/2021|
MSI|MS-16S7|Prestige 15 A11UC|Notebook|0.9|0.9|7.5|24.9|07/23/2021|
Samsung|SM-T733|SM-T733|Slate/Tablet|0.2|0.2|2.8|8.3|07/22/2021|
Lenovo|IdeaPad 1 15IJL7 Ua|IdeaPad 1 15IJL7 Ua|Notebook|0.4|2|4.2|14.2|07/21/2021|
Lenovo|IdeaPad 1 14IJL7 Ua|IdeaPad 1 14IJL7 Ua|Notebook|0.4|2|3.8|13.2|07/21/2021|
Panasonic|FZ-G2C******|FZ-G2C******|Two-In-One Notebook|1.6|1.6|4.3|18.2|07/21/2021|
Panasonic|FZ-55F******|FZ-55F******|Notebook|2.7|2.7|5.1|24.7|07/21/2021|
ASUS|CX1101CM Series|CX1101CM|Notebook|0.6|1|2.6|10.2|07/22/2021|
HP|OMEN by HP 45L Gaming Desktop PC GT22 ENERGY STAR|GT22|Desktop|2.9|2.9|44.8|131.8|07/21/2021|
Lenovo|IdeaPad 3 Chrome 15IJL6|IdeaPad 3 Chrome 15IJL6|Notebook|0.5|1|3.6|12.6|07/12/2021|
Panasonic|FZ-G2A******|FZ-G2A******|Slate/Tablet|1.4|1.4|4.2|16.9|07/20/2021|
Samsung|NP760XDA|NP760XDA|Notebook|0.8|4|6|23|06/25/2021|
Samsung|XE310XDA|XE310XDA|Notebook|0.4|0.8|3.4|11.7|06/25/2021|
ELO|ESY00I1|ESY00I1|Desktop|3.9|3.9|4.2|30.4|06/18/2021|
Framework|Framework Laptop|FRANBP0000|Notebook|2.7|2.7|4.1|22.9|07/09/2021|
MSI|MS-155L|Modern 15 A5M|Notebook|0.6|0.6|7.1|21.9|07/07/2021|
Acer|D18E1|Veriton S4660G|Desktop|1.8|17.1|18.8|72|06/30/2020|
Lenovo|Lenovo TB-8506FS|Lenovo TB-8506FS|Slate/Tablet|0.2|0.2|1.7|6|06/21/2021|
MSI|MS-17K3|GE76 Raider 11UH|Notebook|1.5|10.6|16.4|59.8|07/05/2021|
ASUS|UM5401Q Series|UM5401Q|Notebook|0.5|4.5|8.8|29.5|07/05/2021|
Lenovo|Lenovo YT-J706F|Lenovo YT-J706F|Slate/Tablet|0.3|0.3|2.2|7.2|06/01/2021|
Lenovo|Lenovo TB-J616F|Lenovo TB-J616F|Slate/Tablet|0.2|0.2|3|6.4|05/18/2021|
Intel|LAPTOP|KC57|Notebook|1.7|8.1|9.9|40.9|07/01/2021|
CTL|GQE15C|GQE15C|Desktop|1.5|4.2|5|23.9|03/19/2021|
ASUS|GQE15A|GQE15A|Desktop|1.5|4.2|5|24.1|03/17/2021|
Lenovo|Lenovo V55t Gen 2-13ACN|11VS|Desktop|1.1|14.5|15.2|57.6|06/29/2021|
ASUS|X515K Series|X515K|Notebook|0.5|2.3|4.6|16.3|06/29/2021|
MSI|MS-1571|Creator Z16 A11UET|Notebook|3|3|6.4|31|06/25/2021|
ASUS|X415K Series|X415K|Notebook|0.4|1.7|3.9|13.8|06/29/2021|
ASUS|E5402WH Series|E5402WH|Integrated Desktop|3.6|3.6|20.4|71.4|06/28/2021|
ASUS|CM1400CX Series|CM1400CX|Notebook|0.6|2.1|4.6|16|06/25/2021|
ASUS|M3401Q Series|M3401Q|Notebook|0.5|8.1|9.3|27|06/25/2021|
ASUS|UM535Q SeriesUM535Q Series|UM535Q|Notebook|0.6|0.6|7|21.7|06/24/2021|
